panneaux;bilan_periode_kWh;besoin_batterie_utilisable_kWh;batteries;capacite_nominale_batteries_kWh;capacite_utilisable_batteries_kWh;cout_panneaux_EUR;cout_batteries_EUR;cout_total_EUR
621;263796.91994;655.9605200000515;391;938.4;656.88;86728.86;175946.09;262674.95
622;264163.01708;654.7426400000695;390;936.0;655.1999999999999;86868.52;175496.1;262364.62
623;264529.11422;653.5247600000002;390;936.0;655.1999999999999;87008.18;175496.1;262504.28
624;264895.21136;652.3068799999601;389;933.5999999999999;653.52;87147.84;175046.11000000002;262193.95
625;265261.3085;651.0890000000363;388;931.1999999999999;651.84;87287.5;174596.12;261883.62
626;265627.40564;649.8711199999962;387;928.8;650.16;87427.16;174146.13;261573.29
627;265993.50278;648.6532400000433;387;928.8;650.16;87566.81999999999;174146.13;261712.95
628;266359.59992;647.435359999974;386;926.4;648.48;87706.48;173696.14;261402.62
629;266725.69706000003;646.2174799999921;385;924.0;646.8;87846.14;173246.15;261092.28999999998
630;267091.7942;644.9996000000683;384;921.5999999999999;645.12;87985.8;172796.16;260781.96000000002
631;267457.89134;643.7817200000572;384;921.5999999999999;645.12;88125.45999999999;172796.16;260921.62
632;267823.98848;642.563839999988;383;919.1999999999999;643.4399999999999;88265.12;172346.17;260611.29
633;268190.08562;641.3459600000933;382;916.8;641.76;88404.78;171896.18;260300.96
634;268556.18276;640.1280800001114;382;916.8;641.76;88544.44;171896.18;260440.62
635;268922.27989999996;638.9101999999839;381;914.4;640.0799999999999;88684.09999999999;171446.19;260130.28999999998
636;269288.37704;637.6923200001183;380;912.0;638.4;88823.76;170996.2;259819.96000000002
637;269654.47418;636.4744399999909;379;909.6;636.72;88963.42;170546.21;259509.63
638;270020.57132;635.2565600001253;379;909.6;636.72;89103.08;170546.21;259649.28999999998
639;270386.66845999996;634.038680000027;378;907.1999999999999;635.04;89242.73999999999;170096.22;259338.96
640;270752.7656;632.820800000045;377;904.8;633.36;89382.4;169646.23;259028.63
641;271118.86274;631.602920000063;376;902.4;631.68;89522.06;169196.24;258718.3
642;271484.95988;630.3850400000229;376;902.4;631.68;89661.72;169196.24;258857.96
643;271851.05702000007;629.1671600000409;375;900.0;630.0;89801.38;168746.25;258547.63
644;272217.15416000003;627.9492800000298;374;897.6;628.3199999999999;89941.04;168296.26;258237.3
645;272583.2513;626.7314000000188;374;897.6;628.3199999999999;90080.7;168296.26;258376.96000000002
646;272949.34844;625.513520000095;373;895.1999999999999;626.64;90220.36;167846.27;258066.63
647;273315.44558;624.2956400000548;372;892.8;624.9599999999999;90360.02;167396.28;257756.3
648;273681.54272;623.077760000102;371;890.4;623.28;90499.68;166946.29;257445.97
649;274047.63986;621.8598800000909;371;890.4;623.28;90639.34;166946.29;257585.63
650;274413.737;620.642000000109;370;888.0;621.6;90779.0;166496.30000000002;257275.30000000002
651;274779.83414000005;619.4241200000106;369;885.6;619.92;90918.66;166046.31;256964.97
652;275145.93128;618.2062400001159;368;883.1999999999999;618.24;91058.31999999999;165596.32;256654.64
653;275512.02842;616.9883600000176;368;883.1999999999999;618.24;91197.98;165596.32;256794.3
654;275878.12556;615.7704800000647;367;880.8;616.56;91337.64;165146.33000000002;256483.97000000003
655;276244.22270000004;614.5526000000536;366;878.4;614.88;91477.3;164696.34;256173.64
656;276610.31984;613.8728399999673;366;878.4;614.88;91616.95999999999;164696.34;256313.3
657;276976.41698;613.4899799999548;366;878.4;614.88;91756.62;164696.34;256452.96
658;277342.51412;613.1071200000588;365;876.0;613.1999999999999;91896.28;164246.35;256142.63
659;277708.61126000003;612.7242600000463;365;876.0;613.1999999999999;92035.94;164246.35;256282.29
660;278074.7084;612.3413999999757;365;876.0;613.1999999999999;92175.59999999999;164246.35;256421.95
661;278440.80554000003;611.9585400000215;365;876.0;613.1999999999999;92315.26;164246.35;256561.61
662;278806.90268;611.575680000009;365;876.0;613.1999999999999;92454.92;164246.35;256701.27000000002
663;279172.99982;611.1928200000257;364;873.6;611.52;92594.58;163796.36000000002;256390.94
664;279539.09696;610.8099600000132;364;873.6;611.52;92734.23999999999;163796.36000000002;256530.6
665;279905.19409999996;610.427100000059;364;873.6;611.52;92873.9;163796.36000000002;256670.26
666;280271.29124000005;610.0442399999883;364;873.6;611.52;93013.56;163796.36000000002;256809.92
667;280637.38838;609.6613800000632;363;871.1999999999999;609.84;93153.22;163346.37;256499.59
668;281003.48552;609.2785200001381;363;871.1999999999999;609.84;93292.88;163346.37;256639.25
669;281369.58265999996;608.8956600000674;363;871.1999999999999;609.84;93432.54;163346.37;256778.90999999997
